start,end,duration,samples,position,symmetric,top_track_id,top_athlete_id,bottom_track_id,bottom_athlete_id
5511.0,5512.0,1.0,1,takedown,False,,,track_0,
5512.0,5513.0,1.0,1,back,False,track_0,,,
5513.0,5526.0,13.0,13,unknown,False,,,,
5526.0,5528.0,2.0,2,back,False,track_0,,,
5528.0,5551.0,23.0,23,unknown,False,,,,
5551.0,5553.0,2.0,2,back,False,track_0,,,
5553.0,5568.0,15.0,15,unknown,False,,,,
5568.0,5569.0,1.0,1,back,False,track_0,,,
5569.0,5683.0,114.0,114,unknown,False,,,,
5683.0,5684.0,1.0,1,takedown,False,,,track_0,
5684.0,5759.0,75.0,75,unknown,False,,,,
5759.0,5760.0,1.0,1,standing,True,,,,
5760.0,5784.0,24.0,24,unknown,False,,,,
5784.0,5785.0,1.0,1,back,False,track_0,,,
5785.0,5817.0,32.0,32,unknown,False,,,,
5817.0,5818.0,1.0,1,standing,True,,,,
5818.0,5824.0,6.0,6,unknown,False,,,,
5824.0,5825.0,1.0,1,standing,True,,,,
5825.0,5830.0,5.0,5,unknown,False,,,,
5830.0,5831.0,1.0,1,back,False,track_0,,,
5831.0,5834.0,3.0,3,unknown,False,,,,
5834.0,5835.0,1.0,1,back,False,track_0,,,
5835.0,5836.0,1.0,1,unknown,False,,,,
5836.0,5837.0,1.0,1,back,False,track_0,,,
5837.0,5844.0,7.0,7,unknown,False,,,,
5844.0,5847.0,3.0,3,back,False,track_0,,,
5847.0,5874.0,27.0,27,unknown,False,,,,
5874.0,5875.0,1.0,1,back,False,track_0,,,
5875.0,5902.0,27.0,27,unknown,False,,,,
5902.0,5903.0,1.0,1,open guard,False,,,track_0,
5903.0,5922.0,19.0,19,unknown,False,,,,
5922.0,5923.0,1.0,1,back,False,track_0,,,
5923.0,5936.0,13.0,13,unknown,False,,,,
5936.0,5938.0,2.0,2,open guard,False,,,track_0,
5938.0,5992.0,54.0,54,unknown,False,,,,
5992.0,5993.0,1.0,1,open guard,False,,,track_0,
5993.0,6027.0,34.0,34,unknown,False,,,,
6027.0,6028.0,1.0,1,open guard,False,,,track_0,
6028.0,6029.0,1.0,1,unknown,False,,,,
6029.0,6030.0,1.0,1,open guard,False,,,track_0,
6030.0,6050.0,20.0,20,unknown,False,,,,
6050.0,6052.0,2.0,2,back,False,track_0,,,
6052.0,6065.0,13.0,13,unknown,False,,,,
6065.0,6066.0,1.0,1,back,False,track_0,,,
6066.0,6082.0,16.0,16,unknown,False,,,,
6082.0,6083.0,1.0,1,back,False,track_0,,,
6083.0,6166.0,83.0,83,unknown,False,,,,
6166.0,6168.0,2.0,2,back,False,track_0,,,
6168.0,6170.0,2.0,2,unknown,False,,,,
6170.0,6171.0,1.0,1,back,False,track_0,,,
6171.0,6184.0,13.0,13,unknown,False,,,,
6184.0,6185.0,1.0,1,back,False,track_0,,,
6185.0,6186.0,1.0,1,unknown,False,,,,
6186.0,6187.0,1.0,1,back,False,track_0,,,
6187.0,6193.0,6.0,6,unknown,False,,,,
6193.0,6194.0,1.0,1,standing,True,,,,
6194.0,6196.0,2.0,2,unknown,False,,,,
6196.0,6197.0,1.0,1,standing,True,,,,
6197.0,6200.0,3.0,3,unknown,False,,,,
6200.0,6201.0,1.0,1,standing,True,,,,
6201.0,6202.0,1.0,1,unknown,False,,,,
6202.0,6203.0,1.0,1,standing,True,,,,
6203.0,6206.0,3.0,3,unknown,False,,,,
6206.0,6207.0,1.0,1,standing,True,,,,
6207.0,6222.0,15.0,15,unknown,False,,,,
6222.0,6223.0,1.0,1,takedown,False,,,track_0,
6223.0,6237.0,14.0,14,unknown,False,,,,
