start,end,duration,samples,track_id,athlete_id,role,position
4885.0,4886.0,1.0,1,track_0,,unknown,unknown
4885.0,4886.0,1.0,1,track_1,,unknown,unknown
4886.0,4887.0,1.0,1,track_0,,unknown,unknown
4886.0,4887.0,1.0,1,track_1,,unknown,unknown
4887.0,4888.0,1.0,1,track_0,,unknown,unknown
4887.0,4888.0,1.0,1,track_1,,unknown,unknown
4888.0,4889.0,1.0,1,track_0,,unknown,unknown
4888.0,4889.0,1.0,1,track_1,,unknown,unknown
4889.0,4890.0,1.0,1,track_0,,unknown,unknown
4889.0,4890.0,1.0,1,track_1,,unknown,unknown
4890.0,4891.0,1.0,1,track_0,,unknown,unknown
4890.0,4891.0,1.0,1,track_1,,unknown,unknown
4891.0,4892.0,1.0,1,track_0,,unknown,unknown
4891.0,4892.0,1.0,1,track_1,,unknown,unknown
4892.0,4893.0,1.0,1,track_0,,unknown,unknown
4892.0,4893.0,1.0,1,track_1,,unknown,unknown
4893.0,4894.0,1.0,1,track_0,,unknown,unknown
4893.0,4894.0,1.0,1,track_1,,unknown,unknown
4894.0,4895.0,1.0,1,track_0,,unknown,unknown
4894.0,4895.0,1.0,1,track_1,,unknown,unknown
4895.0,4896.0,1.0,1,track_0,,unknown,unknown
4895.0,4896.0,1.0,1,track_1,,unknown,unknown
4896.0,4897.0,1.0,1,track_0,,unknown,unknown
4896.0,4897.0,1.0,1,track_1,,unknown,unknown
4897.0,4898.0,1.0,1,track_0,,unknown,unknown
4897.0,4898.0,1.0,1,track_1,,unknown,unknown
4898.0,4899.0,1.0,1,track_0,,unknown,unknown
4898.0,4899.0,1.0,1,track_1,,unknown,unknown
4899.0,4900.0,1.0,1,track_0,,unknown,unknown
4899.0,4900.0,1.0,1,track_1,,unknown,unknown
4900.0,4901.0,1.0,1,track_0,,unknown,unknown
4900.0,4901.0,1.0,1,track_1,,unknown,unknown
4901.0,4902.0,1.0,1,track_0,,unknown,unknown
4901.0,4902.0,1.0,1,track_1,,unknown,unknown
4902.0,4903.0,1.0,1,track_0,,unknown,unknown
4902.0,4903.0,1.0,1,track_1,,unknown,unknown
4903.0,4904.0,1.0,1,track_0,,unknown,unknown
4903.0,4904.0,1.0,1,track_1,,unknown,unknown
4904.0,4905.0,1.0,1,track_0,,unknown,unknown
4904.0,4905.0,1.0,1,track_1,,unknown,unknown
4905.0,4906.0,1.0,1,track_0,,unknown,unknown
4905.0,4906.0,1.0,1,track_1,,unknown,unknown
4906.0,4907.0,1.0,1,track_0,,unknown,unknown
4906.0,4907.0,1.0,1,track_1,,unknown,unknown
4907.0,4908.0,1.0,1,track_0,,unknown,unknown
4907.0,4908.0,1.0,1,track_1,,unknown,unknown
4908.0,4909.0,1.0,1,track_0,,unknown,unknown
4908.0,4909.0,1.0,1,track_1,,unknown,unknown
4909.0,4910.0,1.0,1,track_0,,unknown,unknown
4909.0,4910.0,1.0,1,track_1,,unknown,unknown
4910.0,4911.0,1.0,1,track_0,,unknown,unknown
4910.0,4911.0,1.0,1,track_1,,unknown,unknown
4911.0,4912.0,1.0,1,track_0,,unknown,unknown
4911.0,4912.0,1.0,1,track_1,,unknown,unknown
4912.0,4913.0,1.0,1,track_0,,unknown,unknown
4912.0,4913.0,1.0,1,track_1,,unknown,unknown
