timestamp,position,position_conf,role,role_conf,state,state_conf,pose_pair
5320.5,takedown,0.6389477431029208,none,0.6389444230818326,takedown2,0.3805689470614704,True
5321.0,5050_guard,0.3940234543156519,none,0.9089187702334343,open_guard2,0.5503568005964643,True
5321.5,5050_guard,0.43385692951654564,none,0.8624860371954207,5050_guard,0.5221111312498871,True
5322.0,5050_guard,0.6401312392659447,none,0.8549296205140599,5050_guard,0.6953762442708248,True
5322.5,takedown,0.33506908378258565,none,0.934103437398081,back1,0.41465313833405204,True
5323.0,closed_guard,0.8561079383490305,none,0.4328258222932608,closed_guard2,0.9634264757376384,True
5323.5,closed_guard,0.800107601677004,none,0.4067415980897043,closed_guard2,0.9590282507065142,True
5324.0,5050_guard,0.44927190440685155,none,0.7026418069816406,open_guard2,0.5414017200327634,True
5324.5,back,0.978740740821119,none,0.6279616079234933,back2,0.7662560810697301,True
5325.0,back,0.9503499502811346,none,0.7502767340845484,back2,0.7384073702639737,True
5325.5,turtle,0.7090539372424907,athlete2,0.4910477697563367,closed_guard2,0.4864500895392162,True
5326.0,closed_guard,0.8303734118775997,athlete1,0.6609302237597336,closed_guard2,0.6412908508883506,True
5326.5,turtle,0.4007585846497846,athlete2,0.8342466141181913,back2,0.5419139645525753,True
5327.0,back,0.7924073230778554,none,0.7636327835433928,back1,0.8559269319818854,True
5327.5,open_guard,0.7159874810383745,none,0.8044306620013579,open_guard2,0.94663013475242,True
5328.0,open_guard,0.8041241494528825,none,0.7185514123072259,open_guard2,0.972699719370968,True
5328.5,open_guard,0.6982760474170123,none,0.8356117629105992,open_guard2,0.7597744090246974,True
5329.0,takedown,0.6459920033748822,none,0.7258509515030535,takedown2,0.6892684834567278,True
5329.5,takedown,0.4158030971845121,none,0.6099408112769745,back1,0.9176486345830428,True
5330.0,takedown,0.3442107754582306,athlete1,0.5817665362040131,back1,0.7118971623339664,True
